Position,"Track Name",Artist,URL
1,"Lost in the Fire (feat. The Weeknd)",Gesaffelstein,https://open.spotify.com/track/7wFybC8jBH3zE139OpCtpG
2,Thotiana,Blueface,https://open.spotify.com/track/3oh6SCCeLuXhFpEyepla6G
3,"Dancing With A Stranger (with Normani)","Sam Smith",https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
4,"Calma - Remix","Pedro Capó",https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
5,"Nights Like This (feat. Ty Dolla $ign)",Kehlani,https://open.spotify.com/track/7e4KQkp5ZR1gXCAalRjX6B
6,Secreto,"Anuel Aa",https://open.spotify.com/track/5W83ErFkO3aKAIS1WMi6u0
7,Options,NSG,https://open.spotify.com/track/2cytBOLpwFRX7J9URCrFIe
8,"Sweet Victory","Baseball Hockey Sports Crew",https://open.spotify.com/track/4ufsFMT6W3QoWJVdPB4I6z
9,Juice,Lizzo,https://open.spotify.com/track/0onslUNmSLDkuYaideYWir
10,Wow.,"Post Malone",https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
11,"Giant (with Rag'n'Bone Man)","Calvin Harris",https://open.spotify.com/track/5itOtNx0WxtJmi1TQ3RuRd
12,"a lot","21 Savage",https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d
13,"No Te Enamores","Paloma Mami",https://open.spotify.com/track/0EJu1RBtxzldMG2peczuPv
14,JAJA,Fero47,https://open.spotify.com/track/5z3vuYzS9UF6rD6TmBEdUf
15,"Baila Baila Baila",Ozuna,https://open.spotify.com/track/7uH27oIt4a6cIFCA8ZPcyG
16,"Someone You Loved","Lewis Capaldi",https://open.spotify.com/track/2TIlqbIneP0ZY1O0EzYLlc
17,"Te Vi","Piso 21",https://open.spotify.com/track/059bcIhyc2SBwm6sw2AZzd
18,Roi,"Bilal Hassani",https://open.spotify.com/track/6bpHyk5xd0JL1cl99fJeCI
19,"Cross Off","Mark Morton",https://open.spotify.com/track/1UtLHK1KdLD1haUlY5YoSg
20,Undecided,"Chris Brown",https://open.spotify.com/track/7uiBocndm12aKbsdnQ3Scx
21,Scars,Snelle,https://open.spotify.com/track/1cFeuf25M6gvDwG9xGitbc
22,"È sempre bello",Coez,https://open.spotify.com/track/18LXrvm337xqvFxpaB9Puj
23,"Adan y Eva","Paulo Londra",https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk
24,Desconocidos,"Mau y Ricky",https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ
25,"Pauwi Nako",PDL,https://open.spotify.com/track/2tzAN1L07SNwnOdgOEeuQr
26,Baby,Amenazzy,https://open.spotify.com/track/2IA8cFA46DkjgbsRG7kKbp
27,Longshot,"Catfish and the Bottlemen",https://open.spotify.com/track/1Yi8XPnCPoimWwqxwm3uz9
28,Hope,"The Chainsmokers",https://open.spotify.com/track/4BiiOzZCrXEzHRLYcYFiD5
29,"NoBody Else (feat. Nick Cannon, Ty Dolla $ign & Jacquees)","Ncredible Gang",https://open.spotify.com/track/6PlrGEPaisOqBiDlwW6Ic0
30,"Look Back At It","A Boogie Wit da Hoodie",https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8
31,DRUP,Bizzey,https://open.spotify.com/track/1fpmB97puEtPLW9ui8qEBw
32,"Way Back Home (feat. Conor Maynard) - Sam Feldt Edit",SHAUN,https://open.spotify.com/track/1ZLrDPgR7mvuTco3rQK8Pk
33,"Qualidade De Vida - Ao Vivo","Simone & Simaria",https://open.spotify.com/track/5Wmg5LPPJnbMsKA9fthM3l
34,"Innan du väcker mig (feat. Danny Saucedo)",SAMI,https://open.spotify.com/track/6S04kOaQsvm633KXgHwAFf
35,Kıskanç,"Kubilay Karça",https://open.spotify.com/track/4NkKfZe4USK76vt2dVnIQ8
36,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
37,"Bleed It",Blueface,https://open.spotify.com/track/67fNrBUMc7iWMofdCaoJV9
38,"Dile la Verdad","Jowell & Randy",https://open.spotify.com/track/6qP73DRFGojLuIk1siIhNE
39,"On Fleek",Eva,https://open.spotify.com/track/4MSFxqmkiMxq7e61jTqgqt
40,"Nothing Breaks Like a Heart (feat. Miley Cyrus)","Mark Ronson",https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF
41,Kall,"Ant Wan",https://open.spotify.com/track/3YHHiktpaEShl6v22bOpzo
42,Shallow,"Lady Gaga",https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
43,"Envy Me",Calboy,https://open.spotify.com/track/05t7JMip6JrLuSrMV5yYjX
44,"Ta To Gucci (Remix)",Cauty,https://open.spotify.com/track/7kuRvjpeUcn6qNV9IBXC2C
45,"No Auto Durk (feat. Lil Durk)","Only The Family",https://open.spotify.com/track/4VcPtoOpK3oBMDZJ9Ptp9f
46,"Let Me Down Slowly","Alec Benjamin",https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
47,"18HUNNA (feat. Dave)","Headie One",https://open.spotify.com/track/0G1GIn5gGoe5iLHvVC5FM0
48,"Whole Heart (Hold Me Now) - Live","Hillsong UNITED",https://open.spotify.com/track/4pu0nNIRkPytc15HpB3zXy
49,Amanece,"Anuel Aa",https://open.spotify.com/track/1LiN0Z98FkR1t0m8KmLcAH
50,"Poesia Acústica #6: Era uma Vez","Pineapple StormTv",https://open.spotify.com/track/13Rf6RaZT13TW4xLQR3MQr
